run_id,profile,workload,input_tokens,output_tokens,max_concurrency,status,samples_in_window,active_samples,active_mean_power_w,active_median_power_w,active_p95_power_w,active_mean_gpu_util_pct,active_mean_sm_clock_mhz,active_max_temperature_c,min_power_limit_w,max_power_limit_w,telemetry_file
expanded-250w-v2-20260731,baseline,decode,4096,8192,1,passed,3095,2974,247.63,247.61,254.36,100.0,1405,82,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv
expanded-250w-v2-20260731,baseline,decode,8192,1024,1,passed,507,397,241.34,241.91,248.09,99.9,1401,78,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv
expanded-250w-v2-20260731,baseline,decode,8192,4096,1,passed,1630,1511,245.89,246.30,253.23,100.0,1406,82,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv
expanded-250w-v2-20260731,baseline,decode,8192,8192,1,passed,3129,3012,247.74,247.73,254.29,100.0,1404,82,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv
expanded-250w-v2-20260731,baseline,decode,20480,1024,1,passed,571,452,243.74,243.87,255.19,99.8,1390,79,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv
expanded-250w-v2-20260731,baseline,decode,20480,4096,1,skipped-capacity,0,0,,,,,,,,,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv
expanded-250w-v2-20260731,baseline,decode,20480,8192,1,skipped-capacity,0,0,,,,,,,,,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv
expanded-250w-v2-20260731,mtp-c4,mixed,2048,512,4,passed,357,204,227.09,223.09,256.30,95.2,1391,67,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv
expanded-250w-v2-20260731,mtp-c4,mixed,2048,1024,4,passed,520,372,231.57,230.89,252.16,95.2,1397,74,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv
expanded-250w-v2-20260731,mtp-c4,mixed,2048,2048,4,passed,887,754,237.31,237.28,254.28,94.5,1403,79,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv
expanded-250w-v2-20260731,mtp-c4,mixed,4096,512,4,passed,422,278,236.62,234.14,260.29,95.3,1369,76,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv
expanded-250w-v2-20260731,mtp-c4,mixed,4096,1024,4,passed,695,565,235.76,235.30,254.55,94.6,1389,78,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv
expanded-250w-v2-20260731,mtp-c4,mixed,4096,2048,4,skipped-capacity,0,0,,,,,,,,,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv
expanded-250w-v2-20260731,baseline-c4,mixed,2048,512,4,passed,518,375,227.06,226.66,251.57,99.8,1398,72,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv
expanded-250w-v2-20260731,baseline-c4,mixed,2048,1024,4,passed,844,714,234.43,235.38,244.66,99.9,1402,78,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv
expanded-250w-v2-20260731,baseline-c4,mixed,2048,2048,4,passed,1525,1389,241.44,243.48,249.49,99.9,1406,81,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv
expanded-250w-v2-20260731,baseline-c4,mixed,4096,512,4,passed,685,551,238.15,237.85,254.50,99.7,1390,79,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv
expanded-250w-v2-20260731,baseline-c4,mixed,4096,1024,4,passed,1152,1017,241.66,243.36,250.67,99.8,1398,81,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv
expanded-250w-v2-20260731,baseline-c4,mixed,4096,2048,4,skipped-capacity,0,0,,,,,,,,,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-193651-191.csv
expanded-250w-v2-20260731,mtp,sharegpt,dataset,natural,1,passed,638,452,215.24,215.98,233.83,94.6,1407,71,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-220636-189.csv
expanded-250w-v2-20260731,mtp,longbench_v2,dataset,natural,1,passed,556,430,245.73,249.91,266.14,98.2,1297,78,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-220636-189.csv
expanded-250w-v2-20260731,mtp,longbench_v2,dataset,512,1,passed,1157,1032,241.18,240.36,258.18,96.2,1360,81,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-220636-189.csv
expanded-250w-v2-20260731,baseline,sharegpt,dataset,natural,1,passed,1073,889,233.63,237.04,244.23,99.9,1409,78,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-221610-476.csv
expanded-250w-v2-20260731,baseline,longbench_v2,dataset,natural,1,passed,543,425,246.32,249.61,260.51,98.8,1293,79,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-221610-476.csv
expanded-250w-v2-20260731,baseline,longbench_v2,dataset,512,1,passed,1778,1655,246.84,247.33,255.90,99.7,1376,82,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-221610-476.csv
expanded-250w-v2-20260731,mtp-c4,sharegpt,dataset,natural,4,passed,289,103,207.25,212.83,244.91,94.8,1405,60,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-223012-034.csv
expanded-250w-v2-20260731,baseline-c4,sharegpt,dataset,natural,4,passed,382,198,213.94,216.12,226.73,99.8,1408,63,250.00,250.00,results/telemetry/expanded-250w-v2-20260731/power-baseline-c4-20260731-223252-556.csv
