run_id,profile,workload,input_tokens,output_tokens,max_concurrency,requests,start_iso,end_iso,start_epoch_ms,end_epoch_ms,status,result_file,telemetry_file,note
expanded-250w-v2-20260731,mtp,decode,20480,4096,1,0,2026-07-31T18:26:46.203+08:00,2026-07-31T18:26:46.203+08:00,1785493606205,1785493606205,skipped-capacity,,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv,required-total-tokens-24576-not-supported-by-capacity-24576
expanded-250w-v2-20260731,mtp,decode,20480,8192,1,0,2026-07-31T18:26:46.207+08:00,2026-07-31T18:26:46.207+08:00,1785493606209,1785493606209,skipped-capacity,,results/telemetry/expanded-250w-v2-20260731/power-mtp-20260731-175457-159.csv,required-total-tokens-28672-not-supported-by-capacity-24576
expanded-250w-v2-20260731,baseline,prefill,512,1,1,3,2026-07-31T18:28:22.766+08:00,2026-07-31T18:28:49.245+08:00,1785493702768,1785493729242,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-512-1-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,2048,1,1,3,2026-07-31T18:28:49.283+08:00,2026-07-31T18:29:14.987+08:00,1785493729285,1785493754985,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-2048-1-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,4096,1,1,3,2026-07-31T18:29:15.018+08:00,2026-07-31T18:29:39.707+08:00,1785493755019,1785493779705,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-4096-1-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,8192,1,1,3,2026-07-31T18:29:39.738+08:00,2026-07-31T18:30:09.596+08:00,1785493779740,1785493809594,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-8192-1-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,12288,1,1,3,2026-07-31T18:30:09.627+08:00,2026-07-31T18:30:40.930+08:00,1785493809629,1785493840928,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-12288-1-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,prefill,20480,1,1,3,2026-07-31T18:30:40.960+08:00,2026-07-31T18:31:18.290+08:00,1785493840961,1785493878288,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-prefill-20480-1-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,1024,1024,1,3,2026-07-31T18:31:18.323+08:00,2026-07-31T18:32:54.729+08:00,1785493878325,1785493974728,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-1024-1024-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,1024,4096,1,3,2026-07-31T18:32:54.761+08:00,2026-07-31T18:38:11.265+08:00,1785493974762,1785494291263,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-1024-4096-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
