run_id,profile,workload,input_tokens,output_tokens,max_concurrency,requests,status,completed,duration_s,actual_concurrency,total_input_tokens,mean_input_tokens,median_input_tokens,max_input_tokens,total_output_tokens,mean_output_tokens,median_output_tokens,max_output_tokens,input_tok_s,e2e_output_tok_s,steady_decode_tok_s,mean_e2e_latency_ms,median_e2e_latency_ms,p95_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,accept_length,result_file,note
expanded-250w-v2-20260731,baseline-c4,mixed,2048,1024,4,20,passed,20,143.436,3.999,40960,2048.000,2048.000,2048.000,20480,1024.000,1024.000,1024.000,285.563,142.781,37.316,28679.103,28685.884,28693.933,1264.746,1313.578,1772.429,26.798,26.747,27.395,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-official-mixed-2048-1024-c4.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,mixed,2048,2048,4,20,passed,20,279.158,3.999,40960,2048.000,2048.000,2048.000,40960,2048.000,2048.000,2048.000,146.727,146.727,37.527,55822.165,55823.694,55833.457,1274.634,1318.450,1782.925,26.648,26.624,26.947,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-official-mixed-2048-2048-c4.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,mixed,4096,512,4,20,passed,20,111.173,3.734,81920,4096.000,4096.000,4096.000,10240,512.000,512.000,512.000,736.870,92.109,36.443,20753.713,16039.413,32274.888,6731.793,2684.636,17164.732,27.440,27.447,29.233,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-official-mixed-4096-512-c4.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,mixed,4096,1024,4,20,passed,20,204.330,3.728,81920,4096.000,4096.000,4096.000,20480,1024.000,1024.000,1024.000,400.920,100.230,37.378,38089.667,29445.019,58891.117,10720.699,2674.172,30575.311,26.754,26.818,27.692,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-official-mixed-4096-1024-c4.jsonl,official;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,mixed,4096,2048,4,0,skipped-capacity,,,,,,,,,,,,,,,,,,,,,,,,,,required-total-tokens-24576-not-supported-by-capacity-20480
expanded-250w-v2-20260731,mtp,sharegpt,dataset,natural,1,30,passed,30,99.938,1.000,14280,476.000,204.000,4253.000,7555,251.833,218.500,810.000,142.888,75.597,83.865,3329.673,2845.414,8596.581,275.796,231.138,385.823,11.924,12.214,14.057,2.984,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-real-sharegpt-c1.jsonl,dataset-sha256-35f0e213ce091ed9b9af2a1f0755e9d39f9ccec34ab281cd4ca60d70f6479ba4;seed-42;flush-cache-required
expanded-250w-v2-20260731,mtp,longbench_v2,dataset,natural,1,20,passed,20,91.716,1.000,347345,17367.250,17844.000,22842.000,200,10.000,10.000,10.000,3787.187,2.181,72.145,4583.578,4726.017,5435.665,4458.829,4593.937,5286.953,13.861,12.441,16.820,3.100,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-real-longbench_v2-c1.jsonl,dataset-sha256-93ecd8a799ba868cfb2a1c28a38ce87653cb30eb211712030970020d39990058;seed-42;flush-cache-required
expanded-250w-v2-20260731,mtp,longbench_v2,dataset,512,1,20,passed,20,212.473,1.000,347345,17367.250,17844.000,22842.000,10240,512.000,512.000,512.000,1634.775,48.194,83.252,10621.553,10913.952,11742.224,4483.586,4611.105,5335.913,12.012,11.920,13.297,3.121,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-real-longbench_v2-fixed-512-c1.jsonl,dataset-sha256-93ecd8a799ba868cfb2a1c28a38ce87653cb30eb211712030970020d39990058;seed-42;flush-cache-required
expanded-250w-v2-20260731,baseline,sharegpt,dataset,natural,1,30,passed,30,186.485,1.000,14280,476.000,204.000,4253.000,7555,251.833,218.500,810.000,76.574,40.513,42.431,6214.654,5375.763,16550.842,254.135,212.206,361.975,23.567,23.755,23.814,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-real-sharegpt-c1.jsonl,dataset-sha256-35f0e213ce091ed9b9af2a1f0755e9d39f9ccec34ab281cd4ca60d70f6479ba4;seed-42;flush-cache-required
expanded-250w-v2-20260731,baseline,longbench_v2,dataset,natural,1,20,passed,20,90.145,1.000,347345,17367.250,17844.000,22842.000,200,10.000,10.000,10.000,3853.164,2.219,41.014,4505.216,4623.101,5331.071,4285.776,4401.831,5108.322,24.382,24.516,24.714,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-real-longbench_v2-c1.jsonl,dataset-sha256-93ecd8a799ba868cfb2a1c28a38ce87653cb30eb211712030970020d39990058;seed-42;flush-cache-required
expanded-250w-v2-20260731,baseline,longbench_v2,dataset,512,1,20,passed,20,337.863,1.000,347345,17367.250,17844.000,22842.000,10240,512.000,512.000,512.000,1028.064,30.308,40.650,16890.982,17020.583,17791.019,4320.202,4438.867,5150.054,24.600,24.615,24.740,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-real-longbench_v2-fixed-512-c1.jsonl,dataset-sha256-93ecd8a799ba868cfb2a1c28a38ce87653cb30eb211712030970020d39990058;seed-42;flush-cache-required
expanded-250w-v2-20260731,mtp-c4,sharegpt,dataset,natural,4,20,passed,20,26.644,3.840,8466,423.300,239.000,1751.000,5973,298.650,280.000,810.000,317.740,224.174,67.752,5116.171,4598.016,12480.026,438.524,279.866,1029.568,14.760,14.602,17.355,2.884,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-c4-real-sharegpt-c4.jsonl,dataset-sha256-35f0e213ce091ed9b9af2a1f0755e9d39f9ccec34ab281cd4ca60d70f6479ba4;seed-42;flush-cache-required
expanded-250w-v2-20260731,baseline-c4,sharegpt,dataset,natural,4,20,passed,20,44.713,3.808,8466,423.300,239.000,1751.000,5973,298.650,280.000,810.000,189.340,133.585,37.308,8512.962,8064.964,21586.814,298.782,258.699,437.878,26.804,27.109,28.749,,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-c4-real-sharegpt-c4.jsonl,dataset-sha256-35f0e213ce091ed9b9af2a1f0755e9d39f9ccec34ab281cd4ca60d70f6479ba4;seed-42;flush-cache-required
